,,theta.gmm,theta.lower,theta.upper
Period1,sigma.mu,0.00903,0.00159,0.01647
,tau,0.87056,0.79215,0.94898
Period2,sigma.mu,0.00712,0.00595,0.00829
,tau,1.17864,1.07122,1.28605
Period3,sigma.mu,0.02332,0.01566,0.03097
,tau,1.05228,0.94373,1.16083
